// <0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0000> 魔物使いの女性たちが、シートの上に何人も寝かせられていた。
<0050> 「それは努力すれば…変われますよ」

// <0051> 朱音
<0051> 朱音

// <0052> 「今はまだ未熟だけど、人は少しずつより良く変わっていけると？」
<0052> 「今はまだ未熟だけど、人は少しずつより良く変わっていけると？」

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「そりゃ、そう信じないとはじまらないから…」
<0054> 「そりゃ、そう信じないとはじまらないから…」

// <0055> 朱音
<0055> 朱音

// <0056> 「だったら、鍵を排除する必要はあって？」
<0056> 「だったら、鍵を排除する必要はあって？」

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「………」
<0058> 「………」

// <0059> 朱音
<0059> 朱音

// <0060> 「…こんな論議も、もう意味がないわね」
<0060> 「…こんな論議も、もう意味がないわね」

// <0061> 力無く笑う。
<0061> 力無く笑う。

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「結果的には、これで滅びの芽は摘まれた形ですか」
<0063> 「結果的には、これで滅びの芽は摘まれた形ですか」

// <0064> 朱音
<0064> 朱音

// <0065> 「そうね…また何十年か、何百年かすれば、再び鍵が生まれることもあるでしょうけど」
<0065> 「そうね…また何十年か、何百年かすれば、再び鍵が生まれることもあるでしょうけど」

// <0066> 朱音
<0066> 朱音

// <0067> 「その頃には…この星はもう…」
<0067> 「その頃には…この星はもう…」

// <0068> もう夕刻だった。
<0068> もう夕刻だった。

// <0069> 薄暮れの成分と燃え立つ森が、世界を荒涼とした風景に照らしていた。
<0069> 薄暮れの成分と燃え立つ森が、世界を荒涼とした風景に照らしていた。

// <0070> 部屋に戻るなり、朱音が俺の胸板に頭を預けてきた。
<0070> 部屋に戻るなり、朱音が俺の胸板に頭を預けてきた。

// <0071> 瑚太朗
<0071> 瑚太朗

// <0072> 「あ、朱音さん…？」
<0072> 「あ、朱音さん…？」

// <0073> 抱き留めた肩が、小刻みに震える。
<0073> 抱き留めた肩が、小刻みに震える。

// <0074> 朱音
<0074> 朱音

// <0075> 「…これから、どうしたらいいのかしら」
<0075> 「…これから、どうしたらいいのかしら」

// <0076> 朱音
<0076> 朱音

// <0077> 「私たちは弱いのに」
<0077> 「私たちは弱いのに」

// <0078> 朱音
<0078> 朱音

// <0079> 「聖なる仕事なしに、どうやってみんなを救ったらいいのよ…」
<0079> 「聖なる仕事なしに、どうやってみんなを救ったらいいのよ…」

// <0080> 瑚太朗
<0080> 瑚太朗

// <0081> 「………」
<0081> 「………」

// <0082> 朱音
<0082> 朱音

// <0083> 「みんな世の中では、生きていけない者ばかりよ」
<0083> 「みんな世の中では、生きていけない者ばかりよ」

// <0084> 朱音
<0084> 朱音

// <0085> 「だけど救いがあると思えば、まだ生きていけた…」
<0085> 「だけど救いがあると思えば、まだ生きていけた…」

// <0086> 朱音
<0086> 朱音

// <0087> 「鍵による審判という、救いがあると思えばこそ」
<0087> 「鍵による審判という、救いがあると思えばこそ」

// <0088> 朱音
<0088> 朱音

// <0089> 「わからない…彼女たちをどう導いていけばいいのか…」
<0089> 「わからない…彼女たちをどう導いていけばいいのか…」

// <0090> 瑚太朗
<0090> 瑚太朗

// <0091> 「そうとなれば、みんな変わっていけるはずです」
<0091> 「そうとなれば、みんな変わっていけるはずです」

// <0092> 朱音
<0092> 朱音

// <0093> 「変わる？」
<0093> 「変わる？」

// <0094> 瑚太朗
<0094> 瑚太朗

// <0095> 「全員じゃないにしろ…やろうと思えば、できちゃうもんですよ」
<0095> 「全員じゃないにしろ…やろうと思えば、できちゃうもんですよ」

// <0096> 瑚太朗
<0096> 瑚太朗

// <0097> 「それで変われない人がいるなら、そのときは朱音さんが助けてあければいい」
<0097> 「それで変われない人がいるなら、そのときは朱音さんが助けてあければいい」

// <0098> 瑚太朗
<0098> 瑚太朗

// <0099> 「そんなんじゃ、だめですか？」
<0099> 「そんなんじゃ、だめですか？」

// <0100> 朱音
<0100> 朱音

// <0101> 「…」
<0101> 「…」

// <0102> 瑚太朗
<0102> 瑚太朗

// <0103> 「聖女会の人たちに、それぞれどんな事情があるのかは知らないですけど」
<0103> 「聖女会の人たちに、それぞれどんな事情があるのかは知らないですけど」

// <0104> 瑚太朗
<0104> 瑚太朗

// <0105> 「これだけの組織なんだから、いろんなことができるはずです」
<0105> 「これだけの組織なんだから、いろんなことができるはずです」

// <0106> 瑚太朗
<0106> 瑚太朗

// <0107> 「やりがいのあることを…鍵を守る以外の、大きな仕事を作っていけばいいんです」
<0107> 「やりがいのあることを…鍵を守る以外の、大きな仕事を作っていけばいいんです」

// <0108> 朱音
<0108> 朱音

// <0109> 「…皆はそれで良くても、私には自信がないわ」
<0109> 「…皆はそれで良くても、私には自信がないわ」

// <0110> 朱音
<0110> 朱音

// <0111> 「自分を支えることはできそうにない…」
<0111> 「自分を支えることはできそうにない…」

// <0112> 瑚太朗
<0112> 瑚太朗

// <0113> 「俺が支えますよ」
<0113> 「俺が支えますよ」

// <0114> 朱音
<0114> 朱音

// <0115> 「…そんな、人間の支えなんて…何になるのよ」
<0115> 「…そんな、人間の支えなんて…何になるのよ」

// <0116> 瑚太朗
<0116> 瑚太朗

// <0117> 「一緒に…」
<0117> 「一緒に…」

// <0118> 瑚太朗
<0118> 瑚太朗

// <0119> 「朱音さんの責任を、俺が半分背負ってあげます」
<0119> 「朱音さんの責任を、俺が半分背負ってあげます」

// <0120> 朱音
<0120> 朱音

// <0121> 「私の罪を、おまえが背負う？」
<0121> 「私の罪を、おまえが背負う？」

// <0122> 朱音
<0122> 朱音

// <0123> 「…罪人の道なのに？」
<0123> 「…罪人の道なのに？」

// <0124> 瑚太朗
<0124> 瑚太朗

// <0125> 「…ええ？」
<0125> 「…ええ？」

// <0126> 朱音
<0126> 朱音

// <0127> 「鍵が生まれるのは、人類の存在が星にとって大きな負担となったから」
<0127> 「鍵が生まれるのは、人類の存在が星にとって大きな負担となったから」

// <0128> 朱音
<0128> 朱音

// <0129> 「あれは監視者なのよ。鍵が生まれたということは、大地が枯れかかっていることの証」
<0129> 「あれは監視者なのよ。鍵が生まれたということは、大地が枯れかかっていることの証」

// <0130> 朱音
<0130> 朱音

// <0131> 「星の悲鳴なのよ」
<0131> 「星の悲鳴なのよ」

// <0132> 瑚太朗
<0132> 瑚太朗

// <0133> 「でも鍵は死んでも数十年でまた蘇るってさっき…」
<0133> 「でも鍵は死んでも数十年でまた蘇るってさっき…」

// <0134> 朱音
<0134> 朱音

// <0135> 「そのたったの数十年で、この星は二度と回復不能となる一線を超えるの」
<0135> 「そのたったの数十年で、この星は二度と回復不能となる一線を超えるの」

// <0136> 朱音
<0136> 朱音

// <0137> 「環境汚染だけの話じゃないわ。命そのものが枯渇しつつある…」
<0137> 「環境汚染だけの話じゃないわ。命そのものが枯渇しつつある…」

// <0138> 朱音
<0138> 朱音

// <0139> 「今や私たちにできるのは、残された時間、目を背けて生きることだけ」
<0139> 「今や私たちにできるのは、残された時間、目を背けて生きることだけ」

// <0140> 朱音
<0140> 朱音

// <0141> 「皆の目を、そらしていかないといけないのよ？」
<0141> 「皆の目を、そらしていかないといけないのよ？」

// <0142> 朱音
<0142> 朱音

// <0143> 「希望はあると嘘をついてまで、弱者たちの教祖でいられると思うの？」
<0143> 「希望はあると嘘をついてまで、弱者たちの教祖でいられると思うの？」

// <0144> ああ、そうだったのか…
<0144> ああ、そうだったのか…

// <0145> この人の諦念の正体がわかった。
<0145> この人の諦念の正体がわかった。

// <0146> 鍵は生きていれば、ほぼ確実に人を滅ぼす。
<0146> 鍵は生きていれば、ほぼ確実に人を滅ぼす。

// <0147> だけどそれは星の摂理だ。
<0147> だけどそれは星の摂理だ。

// <0148> 世の中で生きられないと感じるような人にとっては、最後にすがれる存在意義なんだ。
<0148> 世の中で生きられないと感じるような人にとっては、最後にすがれる存在意義なんだ。

// <0149> 自分でも母なる星のために力になれるという…
<0149> 自分でも母なる星のために力になれるという…

// <0150> 鍵を守るため、魔物に命を捧げることだって、意味があると思える。
<0150> 鍵を守るため、魔物に命を捧げることだって、意味があると思える。

// <0151> 救いとは、そういうことだったのだ。
<0151> 救いとは、そういうことだったのだ。

// <0152> 瑚太朗
<0152> 瑚太朗

// <0153> 「…星の問題は、よくわからないですよ。けど…」
<0153> 「…星の問題は、よくわからないですよ。けど…」

// <0154> 瑚太朗
<0154> 瑚太朗

// <0155> 「たとえ残りの時間が少なくたって、俺には欲しいものがあって、それは朱音さんのそばにいないと手に入らないものだから」
<0155> 「たとえ残りの時間が少なくたって、俺には欲しいものがあって、それは朱音さんのそばにいないと手に入らないものだから」

// <0156> 瑚太朗
<0156> 瑚太朗

// <0157> 「だから、つらいことの半分、受け持たせてください」
<0157> 「だから、つらいことの半分、受け持たせてください」

// <0158> 瑚太朗
<0158> 瑚太朗

// <0159> 「俺のいい加減さが、朱音さんを助けることができる。そう思います」
<0159> 「俺のいい加減さが、朱音さんを助けることができる。そう思います」

// <0160> 朱音
<0160> 朱音

// <0161> 「………」
<0161> 「………」

// <0162> 見上げた顔の中、瞳が潤んだように見えた。
<0162> 見上げた顔の中、瞳が潤んだように見えた。

// <0163> それを隠すように、顔を押しつけてくる。
<0163> それを隠すように、顔を押しつけてくる。

// <0164> そっと背中に手を回す。
<0164> そっと背中に手を回す。

// <0165> …拒まれなかった。
<0165> …拒まれなかった。

// <0166> 少しずつ力を入れて、ちゃんと抱きしめる。
<0166> 少しずつ力を入れて、ちゃんと抱きしめる。

// <0167> しばらくして身を離した時には、いつもの顔つきに戻っていた。
<0167> しばらくして身を離した時には、いつもの顔つきに戻っていた。

// <0168> 瑚太朗
<0168> 瑚太朗

// <0169> 「ちゃんと泣いた方がいいですよ」
<0169> 「ちゃんと泣いた方がいいですよ」

// <0170> 朱音
<0170> 朱音

// <0171> 「…泣くものですか。このくらい」
<0171> 「…泣くものですか。このくらい」

// <0172> 少し目尻に浮かんだものを、手で拭ってしまった。
<0172> 少し目尻に浮かんだものを、手で拭ってしまった。

// <0173> 朱音
<0173> 朱音

// <0174> 「もし泣くのなら、誰も見ていないところでひとりで泣くわ」
<0174> 「もし泣くのなら、誰も見ていないところでひとりで泣くわ」

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「…そうですか」
<0176> 「…そうですか」

// <0177> 朱音
<0177> 朱音

// <0178> 「もし瑚太朗が私の支えになれると言うなら…決してそうならないように注意して」
<0178> 「もし瑚太朗が私の支えになれると言うなら…決してそうならないように注意して」

// <0179> 朱音をじっと見る。
<0179> 朱音をじっと見る。

// <0180> 今、どういう意味のことを言ったのだろう？
<0180> 今、どういう意味のことを言ったのだろう？

// <0181> 朱音
<0181> 朱音

// <0182> 「それがおまえの仕事よ…」
<0182> 「それがおまえの仕事よ…」

// <0183> 鍵を握らされる。
<0183> 鍵を握らされる。

// <0184> それは空想めいた超越的存在ではない、現実の鍵だ。
<0184> それは空想めいた超越的存在ではない、現実の鍵だ。

// <0185> どこにでもある金属の鍵。
<0185> どこにでもある金属の鍵。

// <0186> 背筋のあたりに、総毛立つものがあった。
<0186> 背筋のあたりに、総毛立つものがあった。

// <0187> これからだ。
<0187> これからだ。

// <0188> これからが真実、支えの仕事だ。
<0188> これからが真実、支えの仕事だ。

// <0189> 朱音は希望はないと言うが、俺の意見は少し異なる。
<0189> 朱音は希望はないと言うが、俺の意見は少し異なる。

// <0190> 誰かを支えられるのは、言葉に尽くせない充実がある。
<0190> 誰かを支えられるのは、言葉に尽くせない充実がある。

// <0191> お使いを繰り返す日々よりも、ずっと。
<0191> お使いを繰り返す日々よりも、ずっと。

// <0192> 朱音の部屋の鍵。
<0192> 朱音の部屋の鍵。

// <0193> だけど俺にとって、超自然の鍵よりずっと大事なものに思えた。
<0193> だけど俺にとって、超自然の鍵よりずっと大事なものに思えた。

// <0194> 瑚太朗
<0194> 瑚太朗

// <0195> 「そうだ…朱音さん」
<0195> 「そうだ…朱音さん」

// <0196> 瑚太朗
<0196> 瑚太朗

// <0197> 「明日の晩あたり、ちょっと抜け出しません？」
<0197> 「明日の晩あたり、ちょっと抜け出しません？」

// <0198> 朱音
<0198> 朱音

// <0199> 「抜け出す？」
<0199> 「抜け出す？」

// <0200> 瑚太朗
<0200> 瑚太朗

// <0201> 「こんなことがあったあとだけど…収穫祭…見に行きません？」
<0201> 「こんなことがあったあとだけど…収穫祭…見に行きません？」

// <0202> 朱音
<0202> 朱音

// <0203> 「い、いいけど…」
<0203> 「い、いいけど…」

// <0204> 瑚太朗
<0204> 瑚太朗

// <0205> 「やった。そのアポ、バイト代がわりっすからね」
<0205> 「やった。そのアポ、バイト代がわりっすからね」

// <0206> 朱音は小さく吹き出す。
<0206> 朱音は小さく吹き出す。

// <0207> 朱音
<0207> 朱音

// <0208> 「仕事のお小遣いはちゃんと別にあげるわよ」
<0208> 「仕事のお小遣いはちゃんと別にあげるわよ」

// <0209> 瑚太朗
<0209> 瑚太朗

// <0210> 「…あれ？　この命がけの仕事って…給料お小遣い制なんですかね…？」
<0210> 「…あれ？　この命がけの仕事って…給料お小遣い制なんですかね…？」

// <0211> 日常の中にも、幸せはある。
<0211> 日常の中にも、幸せはある。

// <0212> その喜びを、ふたりで探していけばいいんだと思った。
<0212> その喜びを、ふたりで探していけばいいんだと思った。

// <0213> その夜、施設内はにわかに騒々しくなった。
<0213> その夜、施設内はにわかに騒々しくなった。

// <0214> 本日の夕方近く、建物内の電気系統にトラブルが生じた。
<0214> 本日の夕方近く、建物内の電気系統にトラブルが生じた。

// <0215> 短時間で復旧することができたが、その時には全て終わっていたという。
<0215> 短時間で復旧することができたが、その時には全て終わっていたという。

// <0216> 騒然とした雰囲気の中、朱音は呼び出され、故人と対面することとなった。
<0216> 騒然とした雰囲気の中、朱音は呼び出され、故人と対面することとなった。

// <0217> 朱音
<0217> 朱音

// <0218> 「………………」
<0218> 「………………」

// <0219> 蒼白な、しかし感情の消えた表情で、朱音は事態を受け止めた。
<0219> 蒼白な、しかし感情の消えた表情で、朱音は事態を受け止めた。

// <0220> その日、先代聖女にして日本マーテル会の象徴である、加島桜が死んだ。
<0220> その日、先代聖女にして日本マーテル会の象徴である、加島桜が死んだ。

// <0221> 通夜の準備には、俺の出番はなかった。
<0221> 通夜の準備には、俺の出番はなかった。

// <0222> 邪魔にならぬよう部室に戻っていると、憔悴した朱音がやってきた。
<0222> 邪魔にならぬよう部室に戻っていると、憔悴した朱音がやってきた。

// <0223> 朱音
<0223> 朱音

// <0224> 「邪魔するわ…」
<0224> 「邪魔するわ…」

// <0225> 瑚太朗
<0225> 瑚太朗

// <0226> 「もともとあんたの書斎でしょ」
<0226> 「もともとあんたの書斎でしょ」

// <0227> ぐったりと、チェアーに腰掛ける。
<0227> ぐったりと、チェアーに腰掛ける。

// <0228> 精神がどん底まで落ち込んで、失意が顔つきにまであらわれていた。
<0228> 精神がどん底まで落ち込んで、失意が顔つきにまであらわれていた。

// <0229> 瑚太朗
<0229> 瑚太朗

// <0230> 「…」
<0230> 「…」

// <0231> 声がかけにくい。
<0231> 声がかけにくい。

// <0232> 加島桜は、朱音にとって身内に等しい相手のはずだ。
<0232> 加島桜は、朱音にとって身内に等しい相手のはずだ。

// <0233> ふざける気分でもなく、安易に慰めていいものかもわからない。
<0233> ふざける気分でもなく、安易に慰めていいものかもわからない。

// <0234> 朱音
<0234> 朱音

// <0235> 「怪我の方はもういいの？」
<0235> 「怪我の方はもういいの？」

// <0236> 瑚太朗
<0236> 瑚太朗

// <0237> 「はい、今朝になったら苦痛もアザも全部消えてました」
<0237> 「はい、今朝になったら苦痛もアザも全部消えてました」

// <0238> 高砂に撃たれ、体内に残っていたはずの弾丸まで自然に摘出されていた。
<0238> 高砂に撃たれ、体内に残っていたはずの弾丸まで自然に摘出されていた。

// <0239> 身体の治癒力が大幅に向上しているらしい。
<0239> 身体の治癒力が大幅に向上しているらしい。

// <0240> 瑚太朗
<0240> 瑚太朗

// <0241> 「新陳代謝が昂進してるらしくて…すぐアカが出ちゃって。シャワー何度も借りてます」
<0241> 「新陳代謝が昂進してるらしくて…すぐアカが出ちゃって。シャワー何度も借りてます」

// <0242> 朱音
<0242> 朱音

// <0243> 「そう…」
<0243> 「そう…」

// <0244> 朱音
<0244> 朱音

// <0245> 「…そういえば約束、ごめんなさいね」
<0245> 「…そういえば約束、ごめんなさいね」

// <0246> 瑚太朗
<0246> 瑚太朗

// <0247> 「いえ」
<0247> 「いえ」

// <0248> 朱音
<0248> 朱音

// <0249> 「今夜、通夜だわ。身内だけで」
<0249> 「今夜、通夜だわ。身内だけで」

// <0250> 瑚太朗
<0250> 瑚太朗

// <0251> 「俺は」
<0251> 「俺は」

// <0252> 朱音
<0252> 朱音

// <0253> 「護衛なんだから、そばにいてもらうわ。周知しないと、今後が動きにくいでしょ」
<0253> 「護衛なんだから、そばにいてもらうわ。周知しないと、今後が動きにくいでしょ」

// <0254> 朱音
<0254> 朱音

// <0255> 「ただ通夜自体は身内だけでやるそうだから、おまえは別室待機になってしまうかも」
<0255> 「ただ通夜自体は身内だけでやるそうだから、おまえは別室待機になってしまうかも」

// <0256> 瑚太朗
<0256> 瑚太朗

// <0257> 「はい、了解です」
<0257> 「はい、了解です」

// <0258> そしてまた沈黙。
<0258> そしてまた沈黙。

// <0259> 瑚太朗
<0259> 瑚太朗

// <0260> 「あ、このたびは、お悔やみ申しあげます」
<0260> 「あ、このたびは、お悔やみ申しあげます」

// <0261> 朱音はきょとんとする。
<0261> 朱音はきょとんとする。

// <0262> 朱音
<0262> 朱音

// <0263> 「…いまさら？　いいのよ、どの道、容態も良くなかったのだから、覚悟はできていたもの」
<0263> 「…いまさら？　いいのよ、どの道、容態も良くなかったのだから、覚悟はできていたもの」

// <0264> 瑚太朗
<0264> 瑚太朗

// <0265> 「加島さんとは、その、長いんですよね？」
<0265> 「加島さんとは、その、長いんですよね？」

// <0266> 朱音
<0266> 朱音

// <0267> 「子どもの頃に加島に引き取られてからだから…十年も経ってないわね」
<0267> 「子どもの頃に加島に引き取られてからだから…十年も経ってないわね」

// <0268> 瑚太朗
<0268> 瑚太朗

// <0269> 「それでも長いですよ」
<0269> 「それでも長いですよ」

// <0270> 瑚太朗
<0270> 瑚太朗

// <0271> 「一緒に暮らしていたんですか？」
<0271> 「一緒に暮らしていたんですか？」

// <0272> 朱音
<0272> 朱音

// <0273> 「そうね…何年かは。それで聖女としての教育を受けたわ」
<0273> 「そうね…何年かは。それで聖女としての教育を受けたわ」

// <0274> 朱音
<0274> 朱音

// <0275> 「でも、家族ではなかったわね…」
<0275> 「でも、家族ではなかったわね…」

// <0276> 瑚太朗
<0276> 瑚太朗

// <0277> 「本当に？」
<0277> 「本当に？」

// <0278> 彼女の椅子の横に立って問う。
<0278> 彼女の椅子の横に立って問う。

// <0279> 意味はない。そばで話したかっただけだ。
<0279> 意味はない。そばで話したかっただけだ。

// <0280> 朱音
<0280> 朱音

// <0281> 「どうして？」
<0281> 「どうして？」

// <0282> 瑚太朗
<0282> 瑚太朗

// <0283> 「朱音さん、ちょっと我慢しちゃうところあるみたいだから…心配で」
<0283> 「朱音さん、ちょっと我慢しちゃうところあるみたいだから…心配で」

// <0284> 朱音
<0284> 朱音

// <0285> 「悲しんでいるようには見えないと？」
<0285> 「悲しんでいるようには見えないと？」

// <0286> 瑚太朗
<0286> 瑚太朗

// <0287> 「あ、いえ、そこは人それぞれで…自分はソンチョーしたいところでありますが」
<0287> 「あ、いえ、そこは人それぞれで…自分はソンチョーしたいところでありますが」

// <0288> 気を遣おうとして、しどろもどろになってしまう。
<0288> 気を遣おうとして、しどろもどろになってしまう。

// <0289> 朱音はそんな俺を見てくすりと笑う。
<0289> 朱音はそんな俺を見てくすりと笑う。

// <0290> 朱音
<0290> 朱音

// <0291> 「…悲しいのは悲しいわよ？　別に押し殺しているわけじゃないから、安心して」
<0291> 「…悲しいのは悲しいわよ？　別に押し殺しているわけじゃないから、安心して」

// <0292> 朱音
<0292> 朱音

// <0293> 「ただね…この感情はあまり野放しにしたくなくて…」
<0293> 「ただね…この感情はあまり野放しにしたくなくて…」

// <0294> 瑚太朗
<0294> 瑚太朗

// <0295> 「朱音さんらしい考えです」
<0295> 「朱音さんらしい考えです」

// <0296> 瑚太朗
<0296> 瑚太朗

// <0297> 「なら、俺はあまり土足で踏み入らない方がいいですね…」
<0297> 「なら、俺はあまり土足で踏み入らない方がいいですね…」

// <0298> そばを離れようとして、袖をつかまれる。
<0298> そばを離れようとして、袖をつかまれる。

// <0299> 瑚太朗
<0299> 瑚太朗

// <0300> 「朱音さん？」
<0300> 「朱音さん？」

// <0301> 朱音
<0301> 朱音

// <0302> 「え？」
<0302> 「え？」

// <0303> 瑚太朗
<0303> 瑚太朗

// <0304> 「…そで」
<0304> 「…そで」

// <0305> 朱音
<0305> 朱音

// <0306> 「………。…ああ、ごめんなさい」
<0306> 「………。…ああ、ごめんなさい」

// <0307> 幼子のような仕草で、ぱっと拳を開く。
<0307> 幼子のような仕草で、ぱっと拳を開く。

// <0308> 定位置に戻った。
<0308> 定位置に戻った。

// <0309> 目が合う。
<0309> 目が合う。

// <0310> いつも通りの彼女だったが、見えないところでバランスを欠いているような危うさが見とれた。
<0310> いつも通りの彼女だったが、見えないところでバランスを欠いているような危うさが見とれた。

// <0311> 朱音
<0311> 朱音

// <0312> 「…憎かったの」
<0312> 「…憎かったの」

// <0313> 唐突に、話し始めた。
<0313> 唐突に、話し始めた。

// <0314> 朱音
<0314> 朱音

// <0315> 「最初は道理もわからなかった。私は白い混乱の中にいて…」
<0315> 「最初は道理もわからなかった。私は白い混乱の中にいて…」

// <0316> 朱音
<0316> 朱音

// <0317> 「でもすぐに知性を与えられた。加島桜によってね」
<0317> 「でもすぐに知性を与えられた。加島桜によってね」

// <0318> 朱音
<0318> 朱音

// <0319> 「そして私はすぐに加島を憎んだ。同時に、好いてもいた」
<0319> 「そして私はすぐに加島を憎んだ。同時に、好いてもいた」

// <0320> 朱音
<0320> 朱音

// <0321> 「そうなることがわかっていたから、加島も私には優しくはしなかったわ」
<0321> 「そうなることがわかっていたから、加島も私には優しくはしなかったわ」

// <0322> 朱音
<0322> 朱音

// <0323> 「聖女とはそういうものだから…聖女の継承とは」
<0323> 「聖女とはそういうものだから…聖女の継承とは」

// <0324> 朱音
<0324> 朱音

// <0325> 「人間、誰しも自分のことを愛すると同時に、忌々しく思うのよ」
<0325> 「人間、誰しも自分のことを愛すると同時に、忌々しく思うのよ」

// <0326> 朱音
<0326> 朱音

// <0327> 「自分の複製だなんてものを、受け入れることはできない」
<0327> 「自分の複製だなんてものを、受け入れることはできない」

// <0328> 瑚太朗
<0328> 瑚太朗

// <0329> 「複製…？」
<0329> 「複製…？」

// <0330> 朱音
<0330> 朱音

// <0331> 「でも…死んだって…」
<0331> 「でも…死んだって…」

// <0332> 朱音
<0332> 朱音

// <0333> 「何よそれ…ふざけないでよ…ここまで人の人生をぐちゃぐちゃにしておいて」
<0333> 「何よそれ…ふざけないでよ…ここまで人の人生をぐちゃぐちゃにしておいて」

// <0334> 朱音
<0334> 朱音

// <0335> 「自分だけさっさと楽になって…人にすべてを押しつけて…」
<0335> 「自分だけさっさと楽になって…人にすべてを押しつけて…」

