// <0000> 
<0000> 

// <0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
<0001> 静流が倒れて病院に担ぎ込まれたと、ルチアから連絡があった。
// <0022> 「急に真っ青になって意識を失ったの」
<0022> 「急に真っ青になって意識を失ったの」

// <0023> 西九条
<0023> 西九条

// <0024> 「私の前で倒れてくれて良かったわ。もし誰もいない場所でだったら、死んでいたかもしれない」
<0024> 「私の前で倒れてくれて良かったわ。もし誰もいない場所でだったら、死んでいたかもしれない」

// <0025> 瑚太朗
<0025> 瑚太朗

// <0026> 「急に倒れるなんて、普通じゃない」
<0026> 「急に倒れるなんて、普通じゃない」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「でも、静流は最近も元気で、何かの病気を患ってるようには見えなかったし…」
<0028> 「でも、静流は最近も元気で、何かの病気を患ってるようには見えなかったし…」

// <0029> 西九条
<0029> 西九条

// <0030> 「さぁ、天王寺君、こっちよ」
<0030> 「さぁ、天王寺君、こっちよ」

// <0031> 西九条
<0031> 西九条

// <0032> 「君にも大至急、検査を受けてもらうわ。今夜は帰れないかもしれないから、そのつもりで」
<0032> 「君にも大至急、検査を受けてもらうわ。今夜は帰れないかもしれないから、そのつもりで」

// <0033> 瑚太朗
<0033> 瑚太朗

// <0034> 「え？　どうして俺まで…？」
<0034> 「え？　どうして俺まで…？」

// <0035> わけのわからないまま、別の検査室に通され、医師たちに促されるまま、採血や採尿をされる。
<0035> わけのわからないまま、別の検査室に通され、医師たちに促されるまま、採血や採尿をされる。

// <0036> その頃には、おぼろげながら、嫌な想像が首をもたげ始めていた…。
<0036> その頃には、おぼろげながら、嫌な想像が首をもたげ始めていた…。

// <0037> 瑚太朗
<0037> 瑚太朗

// <0038> 「先生、ルチアはどこに？」
<0038> 「先生、ルチアはどこに？」

// <0039> 西九条
<0039> 西九条

// <0040> 「無事よ。別の施設で検査を受けてるわ」
<0040> 「無事よ。別の施設で検査を受けてるわ」

// <0041> 電話のルチアは、病院で会おうという感じだった。
<0041> 電話のルチアは、病院で会おうという感じだった。

// <0042> しかし彼女の姿は、もうここにはないと言う。
<0042> しかし彼女の姿は、もうここにはないと言う。

// <0043> 携帯を見ると、メールが着信していた。ルチアからだ。
<0043> 携帯を見ると、メールが着信していた。ルチアからだ。

// <0044> 自分は別の病院で検査を受けることになった。
<0044> 自分は別の病院で検査を受けることになった。

// <0045> でも心配しないでほしい。そう書かれていた。
<0045> でも心配しないでほしい。そう書かれていた。

// <0046> 瑚太朗
<0046> 瑚太朗

// <0047> 「一体、何があったんですか！　ルチアの、……毒は、……今はもう大丈夫だったんじゃ…」
<0047> 「一体、何があったんですか！　ルチアの、……毒は、……今はもう大丈夫だったんじゃ…」

// <0048> 西九条
<0048> 西九条

// <0049> 「そういうことになってたんだけどねぇ」
<0049> 「そういうことになってたんだけどねぇ」

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「じゃ、じゃあ、…静流は、……ルチアの毒に！？」
<0051> 「じゃ、じゃあ、…静流は、……ルチアの毒に！？」

// <0052> 西九条
<0052> 西九条

// <0053> 「ルチアちゃんが特別な体であるように、静流ちゃんも特別な体なの」
<0053> 「ルチアちゃんが特別な体であるように、静流ちゃんも特別な体なの」

// <0054> 瑚太朗
<0054> 瑚太朗

// <0055> 「それは確かに、静流も言ってた…。特別な体で、ルチアの毒が大丈夫だって」
<0055> 「それは確かに、静流も言ってた…。特別な体で、ルチアの毒が大丈夫だって」

// <0056> だからこそ、ルチアの唯一の友人になれる資格を持っていた。
<0056> だからこそ、ルチアの唯一の友人になれる資格を持っていた。

// <0057> それがどれほど彼女の支えになったことか。
<0057> それがどれほど彼女の支えになったことか。

// <0058> 静流も、そんなルチアのことを誰よりも理解して、無二の親友として身近にいてくれたはずだ。
<0058> 静流も、そんなルチアのことを誰よりも理解して、無二の親友として身近にいてくれたはずだ。

// <0059> しかし、深く考えたことはなかった。
<0059> しかし、深く考えたことはなかった。

// <0060> 俺がルチアの毒に耐えられるのは、……アクセルの力を使って、ルチアの毒を受け容れることの出来る体に、自らを作り変えたからだ。
<0060> 俺がルチアの毒に耐えられるのは、……アクセルの力を使って、ルチアの毒を受け容れることの出来る体に、自らを作り変えたからだ。

// <0061> しかし、静流はどうして、ルチアの毒が平気だったんだろう…。
<0061> しかし、静流はどうして、ルチアの毒が平気だったんだろう…。

// <0062> 西九条
<0062> 西九条

// <0063> 「静流ちゃんの体はね。歩く製薬工場って呼ばれてる」
<0063> 「静流ちゃんの体はね。歩く製薬工場って呼ばれてる」

// <0064> 瑚太朗
<0064> 瑚太朗

// <0065> 「製薬工場…？」
<0065> 「製薬工場…？」

// <0066> 西九条
<0066> 西九条

// <0067> 「彼女の体は特別なの。必要な薬物を体内で自己精製し自己投与できる」
<0067> 「彼女の体は特別なの。必要な薬物を体内で自己精製し自己投与できる」

// <0068> 西九条
<0068> 西九条

// <0069> 「そして、有害物質に接した場合にも、自己分析して、それを相殺する薬物を自己精製、自己投与できるの」
<0069> 「そして、有害物質に接した場合にも、自己分析して、それを相殺する薬物を自己精製、自己投与できるの」

// <0070> 西九条
<0070> 西九条

// <0071> 「つまり、どんな悪食をしても、絶対に食中毒にならない能力ということかしら。くす、静流ちゃんにぴったりよね」
<0071> 「つまり、どんな悪食をしても、絶対に食中毒にならない能力ということかしら。くす、静流ちゃんにぴったりよね」

// <0072> 瑚太朗
<0072> 瑚太朗

// <0073> 「そんな力のある彼女が、どうして倒れることに…！」
<0073> 「そんな力のある彼女が、どうして倒れることに…！」

// <0074> 西九条
<0074> 西九条

// <0075> 「２つの不幸が重なったわ」
<0075> 「２つの不幸が重なったわ」

// <0076> 西九条
<0076> 西九条

// <0077> 「１つは、その静流ちゃんの能力がむしろ、裏目に出てしまったこと」
<0077> 「１つは、その静流ちゃんの能力がむしろ、裏目に出てしまったこと」

// <0078> 西九条
<0078> 西九条

// <0079> 「もう１つは、ルチアちゃんが投与を受けている、毒の抑制剤が完璧ではなかったこと」
<0079> 「もう１つは、ルチアちゃんが投与を受けている、毒の抑制剤が完璧ではなかったこと」

// <0080> 瑚太朗
<0080> 瑚太朗

// <0081> 「抑制剤…？」
<0081> 「抑制剤…？」

// <0082> 西九条
<0082> 西九条

// <0083> 「ルチアちゃんもまた、静流ちゃんと同じで歩く製薬工場なの」
<0083> 「ルチアちゃんもまた、静流ちゃんと同じで歩く製薬工場なの」

// <0084> 西九条
<0084> 西九条

// <0085> 「悪い言い方を承知で言うと、歩く公害工場ね。猛毒の煤煙を常に排出する、公害工場」
<0085> 「悪い言い方を承知で言うと、歩く公害工場ね。猛毒の煤煙を常に排出する、公害工場」

// <0086> 瑚太朗
<0086> 瑚太朗

// <0087> 「……でもそれは、昔の話で…！」
<0087> 「……でもそれは、昔の話で…！」

// <0088> 西九条
<0088> 西九条

// <0089> 「抑制剤を欠かさず飲んでいるから抑えられているだけ」
<0089> 「抑制剤を欠かさず飲んでいるから抑えられているだけ」

// <0090> 西九条
<0090> 西九条

// <0091> 「彼女の体内工場は、今も昔も変わらず、猛毒の煤煙の排出を続けている」
<0091> 「彼女の体内工場は、今も昔も変わらず、猛毒の煤煙の排出を続けている」

// <0092> 西九条
<0092> 西九条

// <0093> 「それを抑制剤を使って、体内で分解しているだけ」
<0093> 「それを抑制剤を使って、体内で分解しているだけ」

// <0094> 俺はてっきり、その抑制剤とやらのお陰で、今はもう、ルチアは毒を出さなくなっていると解釈していた。
<0094> 俺はてっきり、その抑制剤とやらのお陰で、今はもう、ルチアは毒を出さなくなっていると解釈していた。

// <0095> しかし、少し事情が違うようだった。
<0095> しかし、少し事情が違うようだった。

// <0096> ルチアは、今もなお毒を作り続けているが、その毒が外へ出ないよう、薬で抑えているだけなのだ…。
<0096> ルチアは、今もなお毒を作り続けているが、その毒が外へ出ないよう、薬で抑えているだけなのだ…。

// <0097> 西九条
<0097> 西九条

// <0098> 「第１の不幸は、どうも抑制剤が完全にそれを抑え切れていなかったらしいこと」
<0098> 「第１の不幸は、どうも抑制剤が完全にそれを抑え切れていなかったらしいこと」

// <0099> 西九条
<0099> 西九条

// <0100> 「私たちの推測では、極めて微弱ではあっても、常時、彼女から毒の排出は行なわれていたらしいの」
<0100> 「私たちの推測では、極めて微弱ではあっても、常時、彼女から毒の排出は行なわれていたらしいの」

// <0101> 瑚太朗
<0101> 瑚太朗

// <0102> 「ルチアはそれに怯えて、人との接触も絶ち、潔癖な生活をしていた…」
<0102> 「ルチアはそれに怯えて、人との接触も絶ち、潔癖な生活をしていた…」

// <0103> 西九条
<0103> 西九条

// <0104> 「そうね。だから私たちはルチアちゃんに感謝しないといけない」
<0104> 「そうね。だから私たちはルチアちゃんに感謝しないといけない」

// <0105> 西九条
<0105> 西九条

// <0106> 「もしも彼女がそういう慎重な生活を送ってくれなかったら。被害はもっと致命的な形で拡大していた可能性が高いわ」
<0106> 「もしも彼女がそういう慎重な生活を送ってくれなかったら。被害はもっと致命的な形で拡大していた可能性が高いわ」

// <0107> 西九条
<0107> 西九条

// <0108> 「……静流ちゃんも、もっと早い段階で倒れていたかもしれない」
<0108> 「……静流ちゃんも、もっと早い段階で倒れていたかもしれない」

// <0109> 瑚太朗
<0109> 瑚太朗

// <0110> 「でも、静流は今まで平気だったのに、なぜ今になって突然…！？」
<0110> 「でも、静流は今まで平気だったのに、なぜ今になって突然…！？」

// <0111> 西九条
<0111> 西九条

// <0112> 「それが第２の不幸」
<0112> 「それが第２の不幸」

// <0113> 西九条
<0113> 西九条

// <0114> 「静流ちゃんが非凡な抵抗能力を持っていたせいで、発見が遅れたの」
<0114> 「静流ちゃんが非凡な抵抗能力を持っていたせいで、発見が遅れたの」

// <0115> 瑚太朗
<0115> 瑚太朗

// <0116> 「静流は製薬工場なんだろ！？　ルチアの毒を中和する薬を自己精製して云々ってさっき先生が！」
<0116> 「静流は製薬工場なんだろ！？　ルチアの毒を中和する薬を自己精製して云々ってさっき先生が！」

// <0117> 西九条
<0117> 西九条

// <0118> 「私たちも、静流ちゃんはルチアちゃんの毒を中和できていると信じていたわ」
<0118> 「私たちも、静流ちゃんはルチアちゃんの毒を中和できていると信じていたわ」

// <0119> 西九条
<0119> 西九条

// <0120> 「しかし、今回わかったの。静流ちゃんの体内工場が生成していたのは、抵抗物質であって、中和物質ではなかった」
<0120> 「しかし、今回わかったの。静流ちゃんの体内工場が生成していたのは、抵抗物質であって、中和物質ではなかった」

// <0121> 瑚太朗
<0121> 瑚太朗

// <0122> 「抵抗？　中和？」
<0122> 「抵抗？　中和？」

// <0123> 西九条
<0123> 西九条

// <0124> 「静流ちゃんはルチアちゃんの無二の親友として、短くない期間を密接に過ごしたわ」
<0124> 「静流ちゃんはルチアちゃんの無二の親友として、短くない期間を密接に過ごしたわ」

// <0125> 西九条
<0125> 西九条

// <0126> 「その期間の間に、静流ちゃんの体内に少しずつ毒が堆積していったの」
<0126> 「その期間の間に、静流ちゃんの体内に少しずつ毒が堆積していったの」

// <0127> 西九条
<0127> 西九条

// <0128> 「静流ちゃんの体内は、その毒に対する抵抗物質を生成して相殺したわ。でも、抵抗していただけ」
<0128> 「静流ちゃんの体内は、その毒に対する抵抗物質を生成して相殺したわ。でも、抵抗していただけ」

// <0129> 西九条
<0129> 西九条

// <0130> 「堆積していく毒を、消し去っているわけではなかったの」
<0130> 「堆積していく毒を、消し去っているわけではなかったの」

// <0131> 瑚太朗
<0131> 瑚太朗

// <0132> 「……つまり、自覚症状はなくとも、ルチアの毒は、堆積していく一方だった…？」
<0132> 「……つまり、自覚症状はなくとも、ルチアの毒は、堆積していく一方だった…？」

// <0133> 西九条
<0133> 西九条

// <0134> 「悪い例え方をすると、堆積していく悪臭のゴミ山みたいなものね」
<0134> 「悪い例え方をすると、堆積していく悪臭のゴミ山みたいなものね」

// <0135> 西九条
<0135> 西九条

// <0136> 「静流ちゃんの体内工場はそのゴミに対し、消臭剤を掛けることで悪臭を相殺してた。でも、ゴミそのものを除去するには至ってなかったわけ」
<0136> 「静流ちゃんの体内工場はそのゴミに対し、消臭剤を掛けることで悪臭を相殺してた。でも、ゴミそのものを除去するには至ってなかったわけ」

// <0137> 体内の毒はどんどん増えていくのに、静流も大量の抵抗物質で抵抗するので、一件、それは健康に見える…。
<0137> 体内の毒はどんどん増えていくのに、静流も大量の抵抗物質で抵抗するので、一件、それは健康に見える…。

// <0138> まるで、どんどん両端の重さを増して、無理やりバランスを取るヤジロベエみたいだった。
<0138> まるで、どんどん両端の重さを増して、無理やりバランスを取るヤジロベエみたいだった。

// <0139> 西九条
<0139> 西九条

// <0140> 「その状態を動的平衡状態っていうの」
<0140> 「その状態を動的平衡状態っていうの」

// <0141> 西九条
<0141> 西九条

// <0142> 「……表向きは健康に見えるけど、体内では熾烈な戦闘が行なわれていて、ぎりぎり均衡が保たれている状態」
<0142> 「……表向きは健康に見えるけど、体内では熾烈な戦闘が行なわれていて、ぎりぎり均衡が保たれている状態」

// <0143> 瑚太朗
<0143> 瑚太朗

// <0144> 「それは無自覚なものなんですか」
<0144> 「それは無自覚なものなんですか」

// <0145> 西九条
<0145> 西九条

// <0146> 「えぇ。そのせいで、これほど重篤になるまで発覚が遅れたの。これが、第２の不幸ってわけ」
<0146> 「えぇ。そのせいで、これほど重篤になるまで発覚が遅れたの。これが、第２の不幸ってわけ」

// <0147> 西九条
<0147> 西九条

// <0148> 「私たちも衝撃を受けているわ。……静流ちゃんの力を持ってしても、解毒できないなんてね…」
<0148> 「私たちも衝撃を受けているわ。……静流ちゃんの力を持ってしても、解毒できないなんてね…」

// <0149> 静流の体にも限界がある。抵抗物質を生成する量にも限界がある。
<0149> 静流の体にも限界がある。抵抗物質を生成する量にも限界がある。

// <0150> ルチアの毒は際限なく堆積していくのに、抵抗する静流には限界があり……。
<0150> ルチアの毒は際限なく堆積していくのに、抵抗する静流には限界があり……。

// <0151> ……それがとうとうある日、そのバランスが決壊した…。
<0151> ……それがとうとうある日、そのバランスが決壊した…。

// <0152> 西九条
<0152> 西九条

// <0153> 「つまり、ルチアちゃんの毒の慢性中毒というわけ」
<0153> 「つまり、ルチアちゃんの毒の慢性中毒というわけ」

// <0154> 西九条
<0154> 西九条

// <0155> 「今、静流ちゃんが受けているのは、それを除去する血液透析よ」
<0155> 「今、静流ちゃんが受けているのは、それを除去する血液透析よ」

// <0156> 瑚太朗
<0156> 瑚太朗

// <0157> 「な、治るんですか」
<0157> 「な、治るんですか」

// <0158> 早く静流に元気になってほしい。
<0158> 早く静流に元気になってほしい。

// <0159> 今の静流の姿は、ルチアにとって、あまりに痛まし過ぎる…。
<0159> 今の静流の姿は、ルチアにとって、あまりに痛まし過ぎる…。

// <0160> 西九条
<0160> 西九条

// <0161> 「もちろん」
<0161> 「もちろん」

// <0162> 西九条
<0162> 西九条

// <0163> 「時間をかけてゆっくり治療すれば必ず元気になるわ。それは約束できる」
<0163> 「時間をかけてゆっくり治療すれば必ず元気になるわ。それは約束できる」

// <0164> 瑚太朗
<0164> 瑚太朗

// <0165> 「……よかった…。それを、ルチアは聞いてますか？」
<0165> 「……よかった…。それを、ルチアは聞いてますか？」

// <0166> 西九条
<0166> 西九条

// <0167> 「もちろん」
<0167> 「もちろん」

// <0168> 小さく安堵する。
<0168> 小さく安堵する。

// <0169> ルチアは今もなお自分を責めているだろうが、それは時間と共に癒せる痛みだ。
<0169> ルチアは今もなお自分を責めているだろうが、それは時間と共に癒せる痛みだ。

// <0170> それは俺も一緒に支える。そして静流だって、支えてくれる。
<0170> それは俺も一緒に支える。そして静流だって、支えてくれる。

// <0171> 大丈夫。……俺たちはルチアを、絶対に孤独になどしない。
<0171> 大丈夫。……俺たちはルチアを、絶対に孤独になどしない。

// <0172> 内線電話が鳴り、西九条先生が取る。
<0172> 内線電話が鳴り、西九条先生が取る。

// <0173> 短いやり取りだった。俺をちらりと見ながらの話だったので、多分、俺の採血の結果だろう。
<0173> 短いやり取りだった。俺をちらりと見ながらの話だったので、多分、俺の採血の結果だろう。

// <0174> 手短で気楽なやり取りから、楽観的な結果が口にする前から見て取れた。
<0174> 手短で気楽なやり取りから、楽観的な結果が口にする前から見て取れた。

// <0175> 西九条
<0175> 西九条

// <0176> 「天王寺君の検査結果が出たわ。……本当に君はすごいわね」
<0176> 「天王寺君の検査結果が出たわ。……本当に君はすごいわね」

// <0177> 瑚太朗
<0177> 瑚太朗

// <0178> 「俺はルチアの毒とは無縁ですから」
<0178> 「俺はルチアの毒とは無縁ですから」

// <0179> 西九条
<0179> 西九条

// <0180> 「…………君は何者なの？」
<0180> 「…………君は何者なの？」

// <0181> 瑚太朗
<0181> 瑚太朗

// <0182> 「天王寺瑚太朗。……此花ルチアを、生涯独りぼっちにしないと誓っただけの、普通の男ですけど何か」
<0182> 「天王寺瑚太朗。……此花ルチアを、生涯独りぼっちにしないと誓っただけの、普通の男ですけど何か」

// <0183> 西九条
<0183> 西九条

// <0184> 「……それは誇張でも何でもないわね」
<0184> 「……それは誇張でも何でもないわね」

// <0185> 西九条
<0185> 西九条

// <0186> 「研究室は、千年に一人どころか、有史以来に一人の奇跡の体質と評価を改めたわ」
<0186> 「研究室は、千年に一人どころか、有史以来に一人の奇跡の体質と評価を改めたわ」

// <0187> 西九条
<0187> 西九条

// <0188> 「君は、ルチアちゃんの毒に対して抵抗どころか、こともなげに受け入れ、当たり前のように素通ししている」
<0188> 「君は、ルチアちゃんの毒に対して抵抗どころか、こともなげに受け入れ、当たり前のように素通ししている」

// <0189> 西九条
<0189> 西九条

// <0190> 「にもかかわらず彼女と違い、毒を体外に排出しない」
<0190> 「にもかかわらず彼女と違い、毒を体外に排出しない」

// <0191> 瑚太朗
<0191> 瑚太朗

// <0192> 「…………」
<0192> 「…………」

// <0193> 彼女とその毒を、全て受け容れられる体を欲し、俺のアクセルを全て踏み込んだ。
<0193> 彼女とその毒を、全て受け容れられる体を欲し、俺のアクセルを全て踏み込んだ。

// <0194> だから今の俺にとって、ルチアの毒は何の意味も持たない。
<0194> だから今の俺にとって、ルチアの毒は何の意味も持たない。

// <0195> ……そして静流もまた、そうであってくれれば良かった……。
<0195> ……そして静流もまた、そうであってくれれば良かった……。

// <0196> 西九条
<0196> 西九条

// <0197> 「……君という奇跡の存在が発見されていたなら」
<0197> 「……君という奇跡の存在が発見されていたなら」

// <0198> 西九条
<0198> 西九条

// <0199> 「次世代人類プロジェクトに百億ドルもの無駄な予算を投じる必要はなかったかもしれない」
<0199> 「次世代人類プロジェクトに百億ドルもの無駄な予算を投じる必要はなかったかもしれない」

// <0200> 西九条
<0200> 西九条

// <0201> 「……それだけの莫大な予算を投じて、千年の後に人類を受け継ごうとして生み出したのは、一人の不幸な少女だけだった」
<0201> 「……それだけの莫大な予算を投じて、千年の後に人類を受け継ごうとして生み出したのは、一人の不幸な少女だけだった」

// <0202> 瑚太朗
<0202> 瑚太朗

// <0203> 「次世代人類プロジェクトって何ですか」
<0203> 「次世代人類プロジェクトって何ですか」

// <0204> 西九条
<0204> 西九条

// <0205> 「ルチアちゃんから聞かされてない？」
<0205> 「ルチアちゃんから聞かされてない？」

// <0206> 瑚太朗
<0206> 瑚太朗

// <0207> 「一応は」
<0207> 「一応は」

// <0208> 瑚太朗
<0208> 瑚太朗

// <0209> 「……千年後に地球は、人類の住めない過酷な環境になるって。その未来に耐えられる人類の研究をって」
<0209> 「……千年後に地球は、人類の住めない過酷な環境になるって。その未来に耐えられる人類の研究をって」

// <0210> 西九条
<0210> 西九条

// <0211> 「正気を無くした連中が始めた実験よ」
<0211> 「正気を無くした連中が始めた実験よ」

// <0212> 西九条
<0212> 西九条

// <0213> 「どんな過酷な環境にも耐えられる改造人間を作って、それを冷凍睡眠で未来に送り込もうとしてた」
<0213> 「どんな過酷な環境にも耐えられる改造人間を作って、それを冷凍睡眠で未来に送り込もうとしてた」

// <0214> 西九条
<0214> 西九条

// <0215> 「その為に世界中の孤児を集めて、酷い実験の被験者にしたの」
<0215> 「その為に世界中の孤児を集めて、酷い実験の被験者にしたの」

// <0216> 瑚太朗
<0216> 瑚太朗

// <0217> 「ルチアも、その一人…？」
<0217> 「ルチアも、その一人…？」

// <0218> 西九条
<0218> 西九条

// <0219> 「えぇ」
<0219> 「えぇ」

// <0220> 西九条
<0220> 西九条

// <0221> 「彼女は孤児よ。ガーディアンジャパンの施設に、生まれてすぐ引き取られたわ」
<0221> 「彼女は孤児よ。ガーディアンジャパンの施設に、生まれてすぐ引き取られたわ」

// <0222> 西九条
<0222> 西九条

// <0223> 「そして、そのプロジェクトの被験者に選ばれて、連中の施設に引き取られた」
<0223> 「そして、そのプロジェクトの被験者に選ばれて、連中の施設に引き取られた」

// <0224> 西九条
<0224> 西九条

// <0225> 「それが彼女の最大の不幸。……そして、生きてプロジェクトを出られたのが、最大の幸運だった」
<0225> 「それが彼女の最大の不幸。……そして、生きてプロジェクトを出られたのが、最大の幸運だった」

// <0226> 瑚太朗
<0226> 瑚太朗

// <0227> 「俺はあの日、何となくはぐらかされたような気がしてました」
<0227> 「俺はあの日、何となくはぐらかされたような気がしてました」

// <0228> 瑚太朗
<0228> 瑚太朗

// <0229> 「……ルチアの毒の体質は、そのプロジェクトと関係があるんじゃないかって」
<0229> 「……ルチアの毒の体質は、そのプロジェクトと関係があるんじゃないかって」

// <0230> 瑚太朗
<0230> 瑚太朗

// <0231> 「一体、ルチアは何者なんです？　ルチアの毒ってのは一体？」
<0231> 「一体、ルチアは何者なんです？　ルチアの毒ってのは一体？」

// <0232> 西九条
<0232> 西九条

// <0233> 「……千年後」
<0233> 「……千年後」

// <0234> 西九条
<0234> 西九条

// <0235> 「地球と言う、人類が知りうる最大の生物が、死ぬと考えられてるわ」
<0235> 「地球と言う、人類が知りうる最大の生物が、死ぬと考えられてるわ」

// <0236> 西九条
<0236> 西九条

// <0237> 「知ってる？　地球は生き物で、人類はその恩恵で生きているって話」
<0237> 「知ってる？　地球は生き物で、人類はその恩恵で生きているって話」

// <0238> 瑚太朗
<0238> 瑚太朗

// <0239> 「テレビか何かで見たことは…」
<0239> 「テレビか何かで見たことは…」

// <0240> 西九条
<0240> 西九条

// <0241> 「地球という生物は、体内に生命の力を蓄えてる」
<0241> 「地球という生物は、体内に生命の力を蓄えてる」

// <0242> 西九条
<0242> 西九条

// <0243> 「それを時々、パワースポットと呼ばれる穴から放出し、地表を潤していると考えられているの」
<0243> 「それを時々、パワースポットと呼ばれる穴から放出し、地表を潤していると考えられているの」

// <0244> 西九条
<0244> 西九条

// <0245> 「地球生命の誕生は、地球という巨大生命の存在なくして有り得ない、という仮説よ」
<0245> 「地球生命の誕生は、地球という巨大生命の存在なくして有り得ない、という仮説よ」

// <0246> その地球が死ぬと、地表を潤していた生命の力は枯渇する。
<0246> その地球が死ぬと、地表を潤していた生命の力は枯渇する。

// <0247> 西九条
<0247> 西九条

// <0248> 「それはつまり、地球上の全生物が死滅する、という意味よ」
<0248> 「それはつまり、地球上の全生物が死滅する、という意味よ」

// <0249> 西九条
<0249> 西九条

// <0250> 「我々人類など、地球という巨大生物を宿主とした細菌に過ぎない」
<0250> 「我々人類など、地球という巨大生物を宿主とした細菌に過ぎない」

// <0251> 西九条
<0251> 西九条

// <0252> 「宿主が死ねば、人類も当然、道連れになるわ」
<0252> 「宿主が死ねば、人類も当然、道連れになるわ」

// <0253> 瑚太朗
<0253> 瑚太朗

// <0254> 「……そんな壮大な話とルチアの毒に、何の関係が」
<0254> 「……そんな壮大な話とルチアの毒に、何の関係が」

// <0255> 西九条
<0255> 西九条

// <0256> 「次世代人類プロジェクトの連中が百億ドルを費やした研究によると。千年後に地球は滅ぶ」
<0256> 「次世代人類プロジェクトの連中が百億ドルを費やした研究によると。千年後に地球は滅ぶ」

// <0257> 西九条
<0257> 西九条

// <0258> 「すると地球体内の生命エネルギーは腐って瘴気となり、それが地表に噴き出して、猛毒の瘴気となって全生物を滅ぼすと推測されたの」
<0258> 「すると地球体内の生命エネルギーは腐って瘴気となり、それが地表に噴き出して、猛毒の瘴気となって全生物を滅ぼすと推測されたの」

// <0259> 瑚太朗
<0259> 瑚太朗

// <0260> 「猛毒の、……瘴気」
<0260> 「猛毒の、……瘴気」

// <0261> 西九条
<0261> 西九条

// <0262> 「生命の力と真逆の力。……生命を奪うだけの、何よりも純粋な有害物質よ」
<0262> 「生命の力と真逆の力。……生命を奪うだけの、何よりも純粋な有害物質よ」

// <0263> 瑚太朗
<0263> 瑚太朗

// <0264> 「…………」
<0264> 「…………」

// <0265> 西九条
<0265> 西九条

// <0266> 「地球上には現在でも膨大な種類の毒物が存在するわ」
<0266> 「地球上には現在でも膨大な種類の毒物が存在するわ」

// <0267> 西九条
<0267> 西九条

// <0268> 「しかし、それらは何らかの作用によって、結果的に人体に害となるだけ」
<0268> 「しかし、それらは何らかの作用によって、結果的に人体に害となるだけ」

// <0269> 西九条
<0269> 西九条

