// <0000> 小鳥
<0058> その時の相手は…全ガイア、そして鍵。

// <0059> もっとも熾烈な争いだったと思う。
<0059> もっとも熾烈な争いだったと思う。

// <0060> あらゆる火器を拡大解釈化する、関目さん。
<0060> あらゆる火器を拡大解釈化する、関目さん。

// <0061> 放射線に似たエネルギーを操るメガネの戦士、守口さん。
<0061> 放射線に似たエネルギーを操るメガネの戦士、守口さん。

// <0062> 突然シェイプアップして現れたバンダナの大剣使い、ノエさん。
<0062> 突然シェイプアップして現れたバンダナの大剣使い、ノエさん。

// <0063> 怪しい元エージェントの男、小此木さん。
<0063> 怪しい元エージェントの男、小此木さん。

// <0064> 謎の爺さんだが、凶悪な罠をチェーンソー一本で作り上げる、おんじいこと鶴見さん。
<0064> 謎の爺さんだが、凶悪な罠をチェーンソー一本で作り上げる、おんじいこと鶴見さん。

// <0065> 斧をブーメランのように操り周囲を爆殺していく、ご存知ゲンさん。
<0065> 斧をブーメランのように操り周囲を爆殺していく、ご存知ゲンさん。

// <0066> そして、あらゆるものを一刀で斬り伏せる江坂さん―――。
<0066> そして、あらゆるものを一刀で斬り伏せる江坂さん―――。

// <0067> 一番頼れる人たちだった。
<0067> 一番頼れる人たちだった。

// <0068> だが、そんな人たちと共に戦っても、得られた物は何一つなく…。
<0068> だが、そんな人たちと共に戦っても、得られた物は何一つなく…。

// <0069> 瑚太朗
<0069> 瑚太朗

// <0070> （いや…）
<0070> （いや…）

// <0071> そのことは忘れよう。
<0071> そのことは忘れよう。

// <0072> そんな人たちでも、この場に呼ぶことは出来ないことに変わりはないのだ。
<0072> そんな人たちでも、この場に呼ぶことは出来ないことに変わりはないのだ。

// <0073> しかし…
<0073> しかし…

// <0074> 瑚太朗
<0074> 瑚太朗

// <0075> 「…エンカウントしたのかと思った」
<0075> 「…エンカウントしたのかと思った」

// <0076> 小鳥
<0076> 小鳥

// <0077> 「自分で呼んだくせに」
<0077> 「自分で呼んだくせに」

// <0078> 小鳥
<0078> 小鳥

// <0079> 「ふたりはここらの見張り番」
<0079> 「ふたりはここらの見張り番」

// <0080> 小鳥
<0080> 小鳥

// <0081> 「あたしらは、こっち」
<0081> 「あたしらは、こっち」

// <0082> 瑚太朗
<0082> 瑚太朗

// <0083> 「あ、ああ…」
<0083> 「あ、ああ…」

// <0084> 連れて行かれる。懐かしい強引さで。
<0084> 連れて行かれる。懐かしい強引さで。

// <0085> 吉野
<0085> 吉野

// <0086> 「…遅ぇぞ天王寺」
<0086> 「…遅ぇぞ天王寺」

// <0087> 瑚太朗
<0087> 瑚太朗

// <0088> 「吉野…」
<0088> 「吉野…」

// <0089> 吉野は背後にとりまきを大勢連れていた。
<0089> 吉野は背後にとりまきを大勢連れていた。

// <0090> 吉野
<0090> 吉野

// <0091> 「ここですぐにも決着つけてぇところだが、今日は任務があるんでな」
<0091> 「ここですぐにも決着つけてぇところだが、今日は任務があるんでな」

// <0092> 吉野
<0092> 吉野

// <0093> 「神戸。オレらは魔物の出現を見つけて伝えりゃあいいんだな」
<0093> 「神戸。オレらは魔物の出現を見つけて伝えりゃあいいんだな」

// <0094> 小鳥
<0094> 小鳥

// <0095> 「そう。徹底的に見回ってほしいの」
<0095> 「そう。徹底的に見回ってほしいの」

// <0096> 小鳥
<0096> 小鳥

// <0097> 「伝えることが第一で、闘う必要はないから」
<0097> 「伝えることが第一で、闘う必要はないから」

// <0098> 吉野
<0098> 吉野

// <0099> 「…いいや、悪いがオレもこいつらも闘うぜ。必要がなくともな」
<0099> 「…いいや、悪いがオレもこいつらも闘うぜ。必要がなくともな」

// <0100> 小鳥
<0100> 小鳥

// <0101> 「死んじゃうよ？」
<0101> 「死んじゃうよ？」

// <0102> 吉野
<0102> 吉野

// <0103> 「構わねぇ。それがクールガイってもんだろ」
<0103> 「構わねぇ。それがクールガイってもんだろ」

// <0104> 吉野
<0104> 吉野

// <0105> 「…天王寺、手柄を独り占めにはさせねぇ」
<0105> 「…天王寺、手柄を独り占めにはさせねぇ」

// <0106> 瑚太朗
<0106> 瑚太朗

// <0107> 「吉野、協力してくれるのか」
<0107> 「吉野、協力してくれるのか」

// <0108> 吉野
<0108> 吉野

// <0109> 「違うな。こっちが勝手にやってることだ」
<0109> 「違うな。こっちが勝手にやってることだ」

// <0110> 吉野
<0110> 吉野

// <0111> 「思い上がってんじゃねぇよ」
<0111> 「思い上がってんじゃねぇよ」

// <0112> 瑚太朗
<0112> 瑚太朗

// <0113> 「はは…言ってくれるよヤンキーが」
<0113> 「はは…言ってくれるよヤンキーが」

// <0114> 小鳥
<0114> 小鳥

// <0115> 「はいはい、そこまでね」
<0115> 「はいはい、そこまでね」

// <0116> 小鳥
<0116> 小鳥

// <0117> 「先行くよー」
<0117> 「先行くよー」

// <0118> また手を引かれる。
<0118> また手を引かれる。

// <0119> 瑚太朗
<0119> 瑚太朗

// <0120> 「ありがとう…みんな」
<0120> 「ありがとう…みんな」

// <0121> そして…
<0121> そして…

// <0122> ルチア
<0122> ルチア

// <0123> 「やれやれ、やっとおでましか」
<0123> 「やれやれ、やっとおでましか」

// <0124> 静流
<0124> 静流

// <0125> 「………」
<0125> 「………」

// <0126> ちはや
<0126> ちはや

// <0127> 「お疲れ様です」
<0127> 「お疲れ様です」

// <0128> 朱音
<0128> 朱音

// <0129> 「…人を呼びつけておいて、遅刻してくるとは何様？」
<0129> 「…人を呼びつけておいて、遅刻してくるとは何様？」

// <0130> 瑚太朗
<0130> 瑚太朗

// <0131> 「みんな」
<0131> 「みんな」

// <0132> 目頭が熱くなった。
<0132> 目頭が熱くなった。

// <0133> 俺はたぶん今、危機にかこつけてものすごく贅沢をしている。
<0133> 俺はたぶん今、危機にかこつけてものすごく贅沢をしている。

// <0134> こんないい思いをしたら、もう結果を出すしかない。
<0134> こんないい思いをしたら、もう結果を出すしかない。

// <0135> どんなことでもやり遂げないとならない。
<0135> どんなことでもやり遂げないとならない。

// <0136> そのくらいの、スペシャルなワガママだった。
<0136> そのくらいの、スペシャルなワガママだった。

// <0137> 全員で、丘に集まった。
<0137> 全員で、丘に集まった。

// <0138> 篝が外れた場所から、不安そうに俺を見つめていた。
<0138> 篝が外れた場所から、不安そうに俺を見つめていた。

// <0139> …怯えているな。
<0139> …怯えているな。

// <0140> 瑚太朗
<0140> 瑚太朗

// <0141> 「心配しないでいい」
<0141> 「心配しないでいい」

// <0142> 瑚太朗
<0142> 瑚太朗

// <0143> 「オカ研が、あんたを守るよ」
<0143> 「オカ研が、あんたを守るよ」

// <0144> ■友達■　ID:
<0144> ■友達■　ID:

// <0145> 　NO:
<0145> 　NO:

// <0146> ■友達■　ID:
<0146> ■友達■　ID:

// <0147> 　NO:
<0147> 　NO:

// <0148> ■友達■　ID:
<0148> ■友達■　ID:

// <0149> 　NO:
<0149> 　NO:

// <0150> ■友達■　ID:
<0150> ■友達■　ID:

// <0151> 　NO:
<0151> 　NO:

// <0152> ■友達■　ID:
<0152> ■友達■　ID:

// <0153> 　NO:
<0153> 　NO:

// <0154> 【オカ研】
<0154> 【オカ研】

// <0155> 瑚太朗
<0155> 瑚太朗

// <0156> 「俺たちの役目は、襲いくる魔物から、こちらのプリンセスをお守りすることだ」
<0156> 「俺たちの役目は、襲いくる魔物から、こちらのプリンセスをお守りすることだ」

// <0157> 静流
<0157> 静流

// <0158> 「いつまで守る？」
<0158> 「いつまで守る？」

// <0159> 瑚太朗
<0159> 瑚太朗

// <0160> 「彼女の理論が完成するまで」
<0160> 「彼女の理論が完成するまで」

// <0161> 朱音
<0161> 朱音

// <0162> 「その理論というのはいつ完成するのかしら？」
<0162> 「その理論というのはいつ完成するのかしら？」

// <0163> 瑚太朗
<0163> 瑚太朗

// <0164> 「完成した時」
<0164> 「完成した時」

// <0165> 小鳥
<0165> 小鳥

// <0166> 「…おっちゃん。それきつい」
<0166> 「…おっちゃん。それきつい」

// <0167> 瑚太朗
<0167> 瑚太朗

// <0168> 「誰がおっちゃんだ」
<0168> 「誰がおっちゃんだ」

// <0169> ちはや
<0169> ちはや

// <0170> 「ひとりだけ成長してますから」
<0170> 「ひとりだけ成長してますから」

// <0171> 瑚太朗
<0171> 瑚太朗

// <0172> 「え、俺っていくつくらいに見えるの？」
<0172> 「え、俺っていくつくらいに見えるの？」

// <0173> ちはや
<0173> ちはや

// <0174> 「２０歳くらいに」
<0174> 「２０歳くらいに」

// <0175> 瑚太朗
<0175> 瑚太朗

// <0176> 「そうなのか…」
<0176> 「そうなのか…」

// <0177> 小鳥
<0177> 小鳥

// <0178> 「起こしに行ってあたしもべっくらこいた」
<0178> 「起こしに行ってあたしもべっくらこいた」

// <0179> 小鳥
<0179> 小鳥

// <0180> 「ひとりだけ大人になるなんて、インチキ」
<0180> 「ひとりだけ大人になるなんて、インチキ」

// <0181> 瑚太朗
<0181> 瑚太朗

// <0182> 「人をインチキおじさん呼ばわりするな」
<0182> 「人をインチキおじさん呼ばわりするな」

// <0183> 瑚太朗
<0183> 瑚太朗

// <0184> 「…朱音さんのとこにいた時あたりの影響かな？」
<0184> 「…朱音さんのとこにいた時あたりの影響かな？」

// <0185> 瑚太朗
<0185> 瑚太朗

// <0186> 「まあ気にしないでもらいたい」
<0186> 「まあ気にしないでもらいたい」

// <0187> ルチア
<0187> ルチア

// <0188> 「守りを固めるのはいいとして、打開策はあるのか？」
<0188> 「守りを固めるのはいいとして、打開策はあるのか？」

// <0189> ルチア
<0189> ルチア

// <0190> 「ただ籠城するだけというのはナンセンスだぞ」
<0190> 「ただ籠城するだけというのはナンセンスだぞ」

// <0191> 瑚太朗
<0191> 瑚太朗

// <0192> 「理論の完成まで持ちこたえれば勝ちなんだ」
<0192> 「理論の完成まで持ちこたえれば勝ちなんだ」

// <0193> 瑚太朗
<0193> 瑚太朗

// <0194> 「だから救援の来ない籠城ではあるが、実行する意味はある」
<0194> 「だから救援の来ない籠城ではあるが、実行する意味はある」

// <0195> 小鳥
<0195> 小鳥

// <0196> 「ねえ、そもそも理論って何？」
<0196> 「ねえ、そもそも理論って何？」

// <0197> 瑚太朗
<0197> 瑚太朗

// <0198> 「地球を救う手だてだ」
<0198> 「地球を救う手だてだ」

// <0199> ちはや
<0199> ちはや

// <0200> 「鍵の救済のことですか？」
<0200> 「鍵の救済のことですか？」

// <0201> 瑚太朗
<0201> 瑚太朗

// <0202> 「違う。再進化…といってもわからんか」
<0202> 「違う。再進化…といってもわからんか」

// <0203> 瑚太朗
<0203> 瑚太朗

// <0204> 「実は、救済ももう手遅れだったんだ」
<0204> 「実は、救済ももう手遅れだったんだ」

// <0205> 瑚太朗
<0205> 瑚太朗

// <0206> 「だから別の手段が必要になった。その理論だ」
<0206> 「だから別の手段が必要になった。その理論だ」

// <0207> 朱音
<0207> 朱音

// <0208> 「敵は何者？」
<0208> 「敵は何者？」

// <0209> 瑚太朗
<0209> 瑚太朗

// <0210> 「…加島桜」
<0210> 「…加島桜」

// <0211> 朱音
<0211> 朱音

// <0212> 「…！」
<0212> 「…！」

// <0213> 瑚太朗
<0213> 瑚太朗

// <0214> 「きつけりゃ後方に行ってもらっても構わんですよ？」
<0214> 「きつけりゃ後方に行ってもらっても構わんですよ？」

// <0215> 朱音
<0215> 朱音

// <0216> 「構わないわ」
<0216> 「構わないわ」

// <0217> 朱音
<0217> 朱音

// <0218> 「こんな所でまでしがらみを引きずるつもりはないわ」
<0218> 「こんな所でまでしがらみを引きずるつもりはないわ」

// <0219> 瑚太朗
<0219> 瑚太朗

// <0220> 「それは…助かる」
<0220> 「それは…助かる」

// <0221> 瑚太朗
<0221> 瑚太朗

// <0222> 「向こうが送りこんでくる魔物は強力だし、複数同時に現れることもある」
<0222> 「向こうが送りこんでくる魔物は強力だし、複数同時に現れることもある」

// <0223> 瑚太朗
<0223> 瑚太朗

// <0224> 「陽動や自爆にも注意する必要がある」
<0224> 「陽動や自爆にも注意する必要がある」

// <0225> 瑚太朗
<0225> 瑚太朗

// <0226> 「相手は手段を選んではくれないと思ってくれ」
<0226> 「相手は手段を選んではくれないと思ってくれ」

// <0227> 朱音
<0227> 朱音

// <0228> 「まさしく加島桜のやり方だわ」
<0228> 「まさしく加島桜のやり方だわ」

// <0229> 瑚太朗
<0229> 瑚太朗

// <0230> 「で、常に篝のそばに誰かいるようにしたい」
<0230> 「で、常に篝のそばに誰かいるようにしたい」

// <0231> ルチアが笑う。
<0231> ルチアが笑う。

// <0232> ルチア
<0232> ルチア

// <0233> 「ガイアとガーディアンが手を取り合って、鍵を守るんだな」
<0233> 「ガイアとガーディアンが手を取り合って、鍵を守るんだな」

// <0234> ちはや
<0234> ちはや

// <0235> 「それも、星を救うためにです」
<0235> 「それも、星を救うためにです」

// <0236> 瑚太朗
<0236> 瑚太朗

// <0237> 「そういうことだな」
<0237> 「そういうことだな」

// <0238> ルチア
<0238> ルチア

// <0239> 「それは痛快でいいな」
<0239> 「それは痛快でいいな」

// <0240> ルチア
<0240> ルチア

// <0241> 「気楽なのもいい。そんなのが良かった」
<0241> 「気楽なのもいい。そんなのが良かった」

// <0242> 瑚太朗
<0242> 瑚太朗

// <0243> 「ルチアの特質もオンオフで調整できるようにしといたから」
<0243> 「ルチアの特質もオンオフで調整できるようにしといたから」

// <0244> ルチア
<0244> ルチア

// <0245> 「…え？」
<0245> 「…え？」

// <0246> 瑚太朗
<0246> 瑚太朗

// <0247> 「せいぜいスキンシップを楽しんでくれ」
<0247> 「せいぜいスキンシップを楽しんでくれ」

// <0248> ルチア
<0248> ルチア

// <0249> 「………」
<0249> 「………」

// <0250> ルチアは手袋を外して、自分の両手を信じられないような顔で見つめていた。
<0250> ルチアは手袋を外して、自分の両手を信じられないような顔で見つめていた。

// <0251> ちはや
<0251> ちはや

// <0252> 「よかったですね」
<0252> 「よかったですね」

// <0253> ルチア
<0253> ルチア

// <0254> 「………」
<0254> 「………」

// <0255> ルチア
<0255> ルチア

// <0256> 「………」
<0256> 「………」

// <0257> ルチア
<0257> ルチア

// <0258> 「…うん」
<0258> 「…うん」

// <0259> ちはやとルチアはぱん、と手を合わせた。
<0259> ちはやとルチアはぱん、と手を合わせた。

// <0260> 瑚太朗
<0260> 瑚太朗

// <0261> 「この理論は、ガイアの救済とも、ガーディアンのその場しのぎとも違う」
<0261> 「この理論は、ガイアの救済とも、ガーディアンのその場しのぎとも違う」

// <0262> 瑚太朗
<0262> 瑚太朗

// <0263> 「最良の可能性なんだ」
<0263> 「最良の可能性なんだ」

// <0264> 瑚太朗
<0264> 瑚太朗

// <0265> 「オカ研復活の初仕事としては悪くないだろ？」
<0265> 「オカ研復活の初仕事としては悪くないだろ？」

// <0266> 少女たちは顔を見合わせる。
<0266> 少女たちは顔を見合わせる。

// <0267> 鏡像にも心はあるのだ。
<0267> 鏡像にも心はあるのだ。

// <0268> 朱音
<0268> 朱音

// <0269> 「…根掘り葉掘り聞きたい気持ちはあるけど、どうせ理解できないのでしょうし」
<0269> 「…根掘り葉掘り聞きたい気持ちはあるけど、どうせ理解できないのでしょうし」

// <0270> ルチア
<0270> ルチア

// <0271> 「最初の仕事も入ったようだからな」
<0271> 「最初の仕事も入ったようだからな」

// <0272> 瑚太朗
<0272> 瑚太朗

// <0273> 「さすが、よく気付いたな」
<0273> 「さすが、よく気付いたな」

// <0274> 魔の気配が、いくつか現れはじめていた。
<0274> 魔の気配が、いくつか現れはじめていた。

// <0275> 静流
<0275> 静流

// <0276> 「こんなの気付くも気付かないもない」
<0276> 「こんなの気付くも気付かないもない」

// <0277> 静流
<0277> 静流

// <0278> 「みえみえだ」
<0278> 「みえみえだ」

// <0279> 小鳥
<0279> 小鳥

// <0280> 「えっと…もしかして、魔物が来たの？」
<0280> 「えっと…もしかして、魔物が来たの？」

// <0281> ちはや
<0281> ちはや

// <0282> 「そうみたいですね」
<0282> 「そうみたいですね」

// <0283> 静流
<0283> 静流

// <0284> 「まだ遠い…町の方」
<0284> 「まだ遠い…町の方」

// <0285> 瑚太朗
<0285> 瑚太朗

// <0286> 「…このように出現までにはタイムラグがある」
<0286> 「…このように出現までにはタイムラグがある」

// <0287> 瑚太朗
<0287> 瑚太朗

// <0288> 「向こうもそれを知ってて、実体化直後を叩かれないよう距離をあけて現れる」
<0288> 「向こうもそれを知ってて、実体化直後を叩かれないよう距離をあけて現れる」

// <0289> ちはや
<0289> ちはや

// <0290> 「あの、咲夜って呼べないですかね？」
<0290> 「あの、咲夜って呼べないですかね？」

// <0291> 瑚太朗
<0291> 瑚太朗

// <0292> 「…あいつスペシャルすぎてさ。俺の付け焼き刃の応用理論じゃ、どうにもならなかった」
<0292> 「…あいつスペシャルすぎてさ。俺の付け焼き刃の応用理論じゃ、どうにもならなかった」

// <0293> 瑚太朗
<0293> 瑚太朗

// <0294> 「でもそれじゃ、ちはやがやりにくいだろうから、代理は用意した」
<0294> 「でもそれじゃ、ちはやがやりにくいだろうから、代理は用意した」

// <0295> 瑚太朗
<0295> 瑚太朗

// <0296> 「カモン！」
<0296> 「カモン！」

// <0297> 指を鳴らすと、咲夜に体重を８０キロくらい上乗せしたような巨漢がぬろっと木々の合間から現れる。
<0297> 指を鳴らすと、咲夜に体重を８０キロくらい上乗せしたような巨漢がぬろっと木々の合間から現れる。

// <0298> その挙動は、デフォルトで不審だ。
<0298> その挙動は、デフォルトで不審だ。

// <0299> 瑚太朗
<0299> 瑚太朗

// <0300> 「…咲夜ヘヴィボディ」
<0300> 「…咲夜ヘヴィボディ」

// <0301> 瑚太朗
<0301> 瑚太朗

// <0302> 「こいつで戦ってくれ」
<0302> 「こいつで戦ってくれ」

// <0303> 咲夜ＨＢ
<0303> 咲夜ＨＢ

// <0304> 「ぶう」
<0304> 「ぶう」

// <0305> ちはや
<0305> ちはや

// <0306> 「いやぁぁっ！　何ですかこれはぁぁっ！？」
<0306> 「いやぁぁっ！　何ですかこれはぁぁっ！？」

// <0307> ちはや
<0307> ちはや

// <0308> 「ちょっと瑚太朗！　なんでこんな別人みたいになっちゃってるんですかっ！？」
<0308> 「ちょっと瑚太朗！　なんでこんな別人みたいになっちゃってるんですかっ！？」

// <0309> 瑚太朗
<0309> 瑚太朗

// <0310> 「いや、わざとじゃないんだ。理由がある」
<0310> 「いや、わざとじゃないんだ。理由がある」

// <0311> 瑚太朗
<0311> 瑚太朗

// <0312> 「同程度のスペックを目指すとこんくらいかさばるんだよ」
<0312> 「同程度のスペックを目指すとこんくらいかさばるんだよ」

// <0313> 瑚太朗
<0313> 瑚太朗

// <0314> 「これ以上軽量化も小型化もできなかった」
<0314> 「これ以上軽量化も小型化もできなかった」

// <0315> 瑚太朗
<0315> 瑚太朗

// <0316> 「咲夜ってすげーな」
<0316> 「咲夜ってすげーな」

// <0317> 咲夜ＨＢ
<0317> 咲夜ＨＢ

// <0318> 「ぶう！」
<0318> 「ぶう！」

// <0319> ちはや
<0319> ちはや

// <0320> 「こ、この人は断じて咲夜じゃないですっ！」
<0320> 「こ、この人は断じて咲夜じゃないですっ！」

// <0321> 瑚太朗
<0321> 瑚太朗

// <0322> 「人の苦労を踏みにじる発言サンクス」
<0322> 「人の苦労を踏みにじる発言サンクス」

// <0323> 瑚太朗
<0323> 瑚太朗

// <0324> 「強いんだぞＨＢ。なあ小鳥さんよ？　そうだろ？」
<0324> 「強いんだぞＨＢ。なあ小鳥さんよ？　そうだろ？」

// <0325> 小鳥
<0325> 小鳥

// <0326> 「…うん、強いことは強いと思うよ」
<0326> 「…うん、強いことは強いと思うよ」

// <0327> 瑚太朗
<0327> 瑚太朗

// <0328> 「さすがにオリジナルよりは見劣りするけど、そのかわり…」
<0328> 「さすがにオリジナルよりは見劣りするけど、そのかわり…」

// <0329> ちはや
<0329> ちはや

// <0330> 「そのかわり？」
<0330> 「そのかわり？」

// <0331> 咲夜ＨＢ
<0331> 咲夜ＨＢ

// <0332> 「…ぶう」
<0332> 「…ぶう」

// <0333> だん、と乱暴な手つきで茶を出す咲夜ＨＢ。
<0333> だん、と乱暴な手つきで茶を出す咲夜ＨＢ。

// <0334> 瑚太朗
<0334> 瑚太朗

// <0335> 「お付きとしてのもてなし能力は、オリジナルと互角だ」
<0335> 「お付きとしてのもてなし能力は、オリジナルと互角だ」

// <0336> ちはや
<0336> ちはや

// <0337> 「指入ってる！　湯飲みに指入っちゃってます！　ぶっといのが！」
<0337> 「指入ってる！　湯飲みに指入っちゃってます！　ぶっといのが！」

// <0338> 小鳥
<0338> 小鳥

// <0339> 「このスモウレスラーみたいな人は同じことしか言わないの？」
<0339> 「このスモウレスラーみたいな人は同じことしか言わないの？」

// <0340> 瑚太朗
<0340> 瑚太朗

// <0341> 「コストカットのため、言語機能オミットしてあるから」
<0341> 「コストカットのため、言語機能オミットしてあるから」

// <0342> 朱音
<0342> 朱音

// <0343> 「よろしくね、咲夜」
<0343> 「よろしくね、咲夜」

// <0344> ルチア
<0344> ルチア

// <0345> 「なかなかどうして強そうだ」
<0345> 「なかなかどうして強そうだ」

// <0346> 静流
<0346> 静流

// <0347> 「………」
<0347> 「………」

// <0348> 期待しているぜ相棒、とがっしり腕を合わせる。
<0348> 期待しているぜ相棒、とがっしり腕を合わせる。

// <0349> 咲夜ＨＢ
<0349> 咲夜ＨＢ

// <0350> 「ぶふ」
<0350> 「ぶふ」

// <0351> ちはや
<0351> ちはや

// <0352> 「ちょっと、受け入れないでくださいよっ！」
<0352> 「ちょっと、受け入れないでくださいよっ！」

// <0353> 瑚太朗
<0353> 瑚太朗

// <0354> 「まあデザインが気にくわないなら、なるべく視界に入れないようにして使ってくれ」
<0354> 「まあデザインが気にくわないなら、なるべく視界に入れないようにして使ってくれ」

// <0355> ちはや
<0355> ちはや

// <0356> 「…きつい…」
<0356> 「…きつい…」

// <0357> ■友達■　ID:
<0357> ■友達■　ID:

// <0358> 　NO:
<0358> 　NO:

// <0359> ルチア
<0359> ルチア

// <0360> 「とかやってるうちに来たようだが」
<0360> 「とかやってるうちに来たようだが」

// <0361> 携帯が鳴る。
<0361> 携帯が鳴る。

// <0362> 吉野
<0362> 吉野

// <0363> 『…すまねぇ。さっそく四匹、そっちに行った』
<0363> 『…すまねぇ。さっそく四匹、そっちに行った』

// <0364> 瑚太朗
<0364> 瑚太朗

// <0365> 「おう、サンキュ」
<0365> 「おう、サンキュ」

// <0366> 吉野
<0366> 吉野

// <0367> 『手も足も出なかった…人の力じゃどうしようもねぇ。三人殺られた』
<0367> 『手も足も出なかった…人の力じゃどうしようもねぇ。三人殺られた』

// <0368> 吉野
<0368> 吉野

// <0369> 『次からは、見張り役に徹する』
<0369> 『次からは、見張り役に徹する』

// <0370> 瑚太朗
<0370> 瑚太朗

// <0371> 「…いや、助かる」
<0371> 「…いや、助かる」

// <0372> 携帯を切ると、全員もう戦闘モードに切り替わっていた。
<0372> 携帯を切ると、全員もう戦闘モードに切り替わっていた。

// <0373> 瑚太朗
